Aalto University																									
Internal Combustion Engine Laboratory																									
Engine: 44AWI																									
Project: Hercules																									
Reference: RCP Test Run																									
Operator: Jari																									
2017.05.18																									
Time(hh:mm:ss)	SpeedSet(rpm)	SpeedMea(rpm)	TorqSet(Nm)	TorqMea(Nm)	InManPSet(bar)	InManPMea(bar)	InManTMea(C)	ExManPMea(bar)	ExManTMea(C)	FRailPSet(bar)	FRailPCtrl(V)	FRailPMea(bar)	InjStrtSet(deg)	InjQuantSet(mg)	VGTPosSet(V)	VGTPosMea(V)	FMfClc(g/h)	AFRMea(AFR)	NOxMea(Vol%)	ExAirTMea(C)	AmbPMea(bar)	AmbRHMea(%RH)	AmbTMea(C)	IntPMea(bard)	ChargeAirTMea(C)
59:55.5	1300	1311.217529	100	100.0132	0.073224	0.049847	15.798364	0.065584	228.885333	1059.321521	4.093637	998.526865	2.910816	18.5415	2.841136	2.863622	2890.205637	-11.86987	0	213.961752	1.019833	29.73213	27.652847	0.016514	43.011
59:55.6	1300	1295.630493	100	101.398558	0.076633	0.079527	15.800756	0.080751	228.97248	1050	4.054476	1025.309886	2.892744	18.654271	2.839807	2.848165	2836.826056	-12.144921	0	214.016131	1.020101	29.373558	30.734156	0.01656	43.10227
59:55.7	1300	1305.099731	100	100.0132	0.081977	0.074115	16.001063	0.271151	228.874039	1050	4.036967	1064.454302	2.944455	18.282757	2.823209	2.863622	2749.96282	-11.86987	0	213.96781	1.020636	29.385852	28.525024	0.016514	43.087481
59:55.8	1300	1309.586182	100	100.0132	0.070808	0.062227	15.846889	0.113543	228.940022	1050	4.047185	1082.996394	2.87086	18.772048	2.842658	2.843013	2848.791268	-11.87596	0	214.180102	1.020369	31.252474	29.42876	0.016514	43.121435
59:55.9	1300	1298.785767	100	98.627842	0.076528	0.087971	15.788138	0.157403	228.68622	1050	4.06633	1074.755464	2.869067	18.781652	2.837355	2.858469	2937.475882	-11.879004	0	214.047863	1.019565	30.865217	29.770171	0.016514	43.147578
59:56.0	1300	1307.958984	100	98.627842	0.0713	0.060424	15.854553	0.252296	228.610619	1050	4.077578	986.165471	2.91521	18.480901	2.833547	2.848165	2839.181234	-11.879004	0	213.914805	1.019833	28.004839	29.775909	0.016514	43.157499
59:56.1	1300	1303.483643	100	100.0132	0.076016	0.066573	15.914305	0.131169	228.466254	1050	4.075864	1012.948492	2.89408	18.654925	2.844181	2.863622	2878.672938	-11.884079	0	213.966583	1.020101	30.166514	28.717247	0.016514	43.016403
59:56.2	1300	1297.563843	100	100.0132	0.080019	0.075345	15.742169	0.1904	228.396123	1050	4.029941	1068.574767	2.71011	19.948471	2.828087	2.853317	2928.14752	-11.85769	0	214.02378	1.019833	29.934979	29.184894	0.016605	43.093866
59:56.3	1300	1305.909302	100	101.398558	0.078618	0.056406	15.972469	0.021724	228.394928	1050	4.039129	1087.116858	2.96013	18.275348	2.830543	2.858469	2811.969444	-11.85769	0	214.066446	1.019565	30.084555	29.448843	0.016514	43.101766
59:56.4	1300	1309.157593	100	98.627842	0.076438	0.061817	15.904525	0.364815	228.182993	1050	4.066172	1085.056626	2.883234	18.785935	2.835473	2.848165	2873.344205	-11.752136	0	213.968886	1.020101	30.414441	30.487421	0.016514	43.061989
59:56.5	1300	1297.858521	100	97.242485	0.073155	0.089693	15.952219	0.202287	228.200137	1050	4.077764	1021.189422	2.886957	18.745982	2.826901	2.848165	2756.515295	-11.87596	0	213.917638	1.019565	30.793502	29.956656	0.016514	43.127373
59:56.6	1300	1308.386719	100	100.0132	0.077621	0.060096	15.841413	0.152689	228.134582	1050	4.079741	996.466633	2.821219	19.212927	2.826017	2.858469	2875.127442	-11.889154	0	214.041643	1.020369	29.375607	27.896712	0.016514	42.983367
59:56.7	1300	1305.312622	100	100.0132	0.074237	0.080019	15.995779	0.277505	228.260998	1050	4.048068	1023.249654	2.764879	19.603785	2.841633	2.837861	2939.362326	-11.86987	0	213.932823	1.020101	29.432979	26.855264	0.016605	42.92668
59:56.8	1300	1291.697632	100	102.783916	0.077433	0.093137	15.974616	0.14818	228.335839	1050	4.032275	1093.297556	2.732632	19.867598	2.825158	2.858469	3047.004801	-11.87393	0	214.030525	1.020101	30.518939	30.527588	0.016469	42.953213
59:56.9	1300	1314.233032	100	100.0132	0.07745	0.052635	15.819977	0.131374	228.244044	1050	4.042322	1120.080577	2.919127	18.617755	2.834495	2.837861	2852.670264	-11.864795	0	214.068515	1.019833	29.12768	30.31815	0.016469	42.844453
59:57.0	1300	1308.001709	100	100.0132	0.066393	0.063621	15.869715	0.144696	228.375036	1050	4.078035	1070.634999	2.912467	18.654567	2.847804	2.863622	2886.635634	-11.904378	0	214.105183	1.020101	29.971861	27.492183	0.01656	42.909572
59:57.1	1300	1285.760132	100	100.0132	0.075901	0.089447	15.944618	0.258649	228.242486	1050	4.096151	1006.767795	2.970028	18.243096	2.822944	2.843013	3060.926881	-11.87596	0	214.070662	1.019029	28.676905	30.645217	0.016514	42.82908
59:57.2	1300	1311.604492	100	101.398558	0.074569	0.068786	16.038208	0.261314	228.607662	1050	4.075208	1012.948492	2.903092	18.706562	2.827678	2.863622	2809.651111	-11.887124	0	214.159484	1.019297	28.519133	28.126232	0.016514	42.969011
59:57.3	1300	1304.886841	100	100.0132	0.074677	0.066491	15.856286	0.163756	228.495913	1050	4.042332	1058.273605	2.751361	19.75645	2.840696	2.853317	2883.747977	-11.8719	0	214.138889	1.019833	30.813992	28.99554	0.01656	42.684061
59:57.4	1300	1310.272583	100	101.398558	0.075673	0.100433	15.91203	0.128505	228.609069	1050	4.042078	1097.41802	2.995582	18.063954	2.830196	2.853317	2860.674708	-11.874945	0	214.070614	1.019565	29.746473	30.564885	0.016469	42.89529
59:57.5	1300	1310.444092	100	98.627842	0.076362	0.061571	15.828726	0.21438	228.870925	1050	4.063541	1130.381739	2.987618	18.09344	2.828005	2.848165	3051.988606	-11.86987	0	214.306324	1.019029	28.816235	27.790559	0.01656	42.742254
59:57.6	1300	1303.05896	100	101.398558	0.074385	0.066163	15.901439	0.029513	228.802977	1050	4.085434	1058.273605	2.970438	18.177276	2.846639	2.843013	2910.501866	-11.887124	0	214.159142	1.019833	28.637974	28.407395	0.016424	42.641454
59:57.7	1300	1284.109131	100	101.398558	0.074551	0.082724	15.972859	0.150844	228.964732	1050	4.107241	1002.64733	2.867957	18.881916	2.82767	2.863622	2974.908089	-11.87393	0	214.240673	1.019833	29.422734	27.799166	0.01665	42.774734
59:57.8	1300	1307.445801	100	98.627842	0.073444	0.052307	15.869476	0.177283	229.007738	1050	4.074881	1010.88826	2.969657	18.189731	2.829675	2.832709	2948.501168	-11.826227	0	214.471173	1.019565	27.847067	28.476251	0.01656	42.671067
59:57.9	1300	1279.263062	100	98.627842	0.07856	0.06895	15.937645	0.097352	228.821636	1050	4.045439	1058.273605	2.85217	18.992179	2.835268	2.853317	3020.467116	-11.864795	0	214.372609	1.020101	28.818284	29.239405	0.016605	42.679531
59:58.0	1300	1304.716431	100	102.783916	0.073153	0.091661	16.015241	0.176258	229.000848	1050	4.045957	1097.41802	2.968523	18.162623	2.822068	2.843013	2909.109456	-11.85972	0	214.370491	1.019833	29.006791	29.331213	0.016605	42.881014
59:58.1	1300	1306.378418	100	100.0132	0.070634	0.065589	15.889197	0.198188	228.92178	1050	4.068365	1130.381739	2.913117	18.520011	2.83071	2.858469	2899.171387	-11.870885	0	214.361134	1.019565	29.697297	27.153641	0.01665	42.695543
59:58.2	1300	1301.320801	100	100.0132	0.070427	0.071902	15.944756	0.133014	228.84903	1050	4.090257	1115.960112	2.753099	19.573352	2.842983	2.848165	2828.529711	-11.887124	0	214.364857	1.019833	28.719933	27.890974	0.016514	42.601594
59:58.3	1300	1289.116577	100	100.0132	0.077517	0.046732	15.8721	0.086489	228.477208	1050	4.112064	1072.695232	2.946854	18.24196	2.82679	2.863622	2860.619201	-11.870885	0	214.233822	1.019565	30.91849	27.833594	0.016514	42.739896
59:58.4	1300	1305.738647	100	101.398558	0.07305	0.050093	15.875894	0.14941	228.568765	1050	4.110951	994.4064	2.970831	18.068484	2.831635	2.848165	2785.231817	-11.880019	0	214.385216	1.019833	27.767157	28.952505	0.016469	42.826429
